"#","Reference","Qty","Value","Footprint","DNP","Mfr","MfrNo","MouserNo"
"1","C1, C2, C3, C4","4","0.1Î¼","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","","","594-A104K15X7RF5TAA"
"2","D1","1","1N5817","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","DNP","STMicroelectronics","1N5817","511-1N5817"
"3","J2","1","VGA","Connector_IDC:IDC-Header_2x04_P2.54mm_Vertical","","","","649-75869-232LF"
"4","Q1","1","DMG2305UX-7","Package_TO_SOT_SMD:SOT-23","","Diodes Incorporated","DMG2305UX-7","621-DMG2305UX-7"
"5","R1, R2, R3, R15","4","10K","AppleVGA:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Thin_Horizontal","","","","603-CFR-25JR-5210K"
"6","R4, R7, R10","3","500","AppleVGA:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Thin_Horizontal","","","","603-MFR-25FBF52-499R"
"7","R5, R8, R11","3","1K","AppleVGA:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Thin_Horizontal","","","","603-MFR-25FBF52-1K"
"8","R6, R9, R12","3","2K","AppleVGA:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Thin_Horizontal","","","","603-MFR-25FBF52-2K"
"9","R13, R14","2","47","AppleVGA:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Thin_Horizontal","","","","603-MFR-25FTF52-47R"
"10","SW1","1","Reset","Button_Switch_THT:SW_PUSH_6mm_H5mm","","TE Connectivity","FSM4JH","506-FSM4JH"
"11","U1, U2, U3, U4","4","74LVC245","Package_DIP:DIP-20_W7.62mm_Socket","","TI","SN74LVC245AN","595-SN74LVC245AN"
"12","U6","1","Pico","MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_TH","","","",""
